"SiteID","layerID","SimYear","nvar","Value","sd"
"PA123","1","10","14","3.99932139649823","0.5"
"PA123","1","17","14","4.17014556894465","0.5"
"PA123","1","30","14","4.53885350762604","0.5"
"PA123","2","10","14","5.85184505312448","0.5"
"PA123","2","17","14","5.9006200780589","0.5"
"PA123","2","30","14","6.01005389040978","0.5"
"PA123","3","10","14","6.42907300986538","0.5"
"PA123","3","17","14","6.4796263072441","0.5"
"PA123","3","30","14","6.59152814825653","0.5"
"PA123","1","10","17","184","0.5"
"PA123","1","17","17","184","0.5"
"PA123","1","30","17","184","0.5"
"PA123","2","10","17","120","0.5"
"PA123","2","17","17","120","0.5"
"PA123","2","30","17","120","0.5"
"PA123","3","10","17","84","0.5"
"PA123","3","17","17","84","0.5"
"PA123","3","30","17","84","0.5"
"PA123","1","10","30","13.4390642333053","0.5"
"PA123","1","17","30","15.468948985359","0.5"
"PA123","1","30","30","21.9295884923554","0.5"
"PA123","2","10","30","53.3767316418107","0.5"
"PA123","2","17","30","56.4168619117068","0.5"
"PA123","2","30","30","63.6338895700656","0.5"
"PA123","3","10","30","73.7063937646013","0.5"
"PA123","3","17","30","77.5562805574771","0.5"
"PA123","3","30","30","87.3680665207254","0.5"
"PA123","1","10","31","2358.55577294508","0.5"
"PA123","1","17","31","2714.80054693051","0.5"
"PA123","1","30","31","3848.64278040836","0.5"
"PA123","2","10","31","9367.61640313778","0.5"
"PA123","2","17","31","9901.15926550454","0.5"
"PA123","2","30","31","11167.7476195465","0.5"
"PA123","3","10","31","12935.4721056875","0.5"
"PA123","3","17","31","13611.1272378372","0.5"
"PA123","3","30","31","15333.0956743873","0.5"
"PA131","1","10","11","8.76137204073521","0.5"
"PA131","1","17","11","9.68172714313982","0.5"
"PA131","1","30","11","-Inf","0.5"
"PA131","2","10","11","17.9576033700696","0.5"
"PA131","2","17","11","17.2487660185843","0.5"
"PA131","2","30","11","18.1187839333967","0.5"
"PA131","3","10","11","25.5338975854863","0.5"
"PA131","3","17","11","25.6873793565563","0.5"
"PA131","3","30","11","26.0664559291869","0.5"
"PA131","1","10","12","11.0036316040578","0.5"
"PA131","1","17","12","11.7762343805724","0.5"
"PA131","1","30","12","13.5709100542764","0.5"
"PA131","2","10","12","22.7144153675199","0.5"
"PA131","2","17","12","21.9561663677648","0.5"
"PA131","2","30","12","23.5040162757181","0.5"
"PA131","3","10","12","44.0121460289956","0.5"
"PA131","3","17","12","44.6366813499744","0.5"
"PA131","3","30","12","46.2497889492778","0.5"
"PA131","1","10","13","2.29136144260021","0.5"
"PA131","1","17","13","2.57685053340253","0.5"
"PA131","1","30","13","3.46415882088978","0.5"
"PA131","2","10","13","2.95310337755971","0.5"
"PA131","2","17","13","3.17366831458295","0.5"
"PA131","2","30","13","3.61187022427626","0.5"
"PA131","3","10","13","2.46742257809269","0.5"
"PA131","3","17","13","2.54190659831665","0.5"
"PA131","3","30","13","2.74355600597262","0.5"
"PA131","1","10","14","3.63471671989443","0.5"
"PA131","1","17","14","3.57230578060385","0.5"
"PA131","1","30","14",NA,"0.5"
"PA131","2","10","14",NA,"0.5"
"PA131","2","17","14",NA,"0.5"
"PA131","2","30","14",NA,"0.5"
"PA131","3","10","14","5.95473199449554","0.5"
"PA131","3","17","14","5.94584559306145","0.5"
"PA131","3","30","14","5.93512549895592","0.5"
"PA131","1","10","17","208","0.5"
"PA131","1","17","17","208","0.5"
"PA131","1","30","17","208","0.5"
"PA131","2","10","17","72","0.5"
"PA131","2","17","17","80","0.5"
"PA131","2","30","17","80","0.5"
"PA131","3","10","17","16","0.5"
"PA131","3","17","17","16","0.5"
"PA131","3","30","17","16","0.5"
"PA131","1","10","30","14.779360815201","0.5"
"PA131","1","17","30","16.4964406561152","0.5"
"PA131","1","30","30",NA,"0.5"
"PA131","2","10","30",NA,"0.5"
"PA131","2","17","30",NA,"0.5"
"PA131","2","30","30",NA,"0.5"
"PA131","3","10","30","21.0942134393833","0.5"
"PA131","3","17","30","21.7082593369713","0.5"
"PA131","3","30","30","23.4405322236642","0.5"
"PA131","1","10","31","2593.77782306778","0.5"
"PA131","1","17","31","2895.12533514822","0.5"
"PA131","1","30","31",NA,"0.5"
"PA131","2","10","31",NA,"0.5"
"PA131","2","17","31",NA,"0.5"
"PA131","2","30","31",NA,"0.5"
"PA131","3","10","31","3702.03445861177","0.5"
"PA131","3","17","31","3809.79951363846","0.5"
"PA131","3","30","31","4113.81340525307","0.5"
"PA132","1","10","11","10.0754952137792","0.5"
"PA132","1","17","11","11.0258136134308","0.5"
"PA132","1","30","11","12.785798675004","0.5"
"PA132","2","10","11","19.9566924678869","0.5"
"PA132","2","17","11","20.2615569381231","0.5"
"PA132","2","30","11","20.9162702504791","0.5"
"PA132","3","10","11","23.897804070288","0.5"
"PA132","3","17","11","24.142364353571","0.5"
"PA132","3","30","11","24.661884835063","0.5"
"PA132","1","10","12","10.4309200355659","0.5"
"PA132","1","17","12","11.280906014859","0.5"
"PA132","1","30","12","13.2063153501247","0.5"
"PA132","2","10","12","24.4108080065678","0.5"
"PA132","2","17","12","25.1275764612339","0.5"
"PA132","2","30","12","26.7500669624016","0.5"
"PA132","3","10","12","36.0270901524037","0.5"
"PA132","3","17","12","36.7954321049847","0.5"
"PA132","3","30","12","38.6072854163809","0.5"
"PA132","1","10","13","3.83972051466317","0.5"
"PA132","1","17","13","4.40245829873744","0.5"
"PA132","1","30","13","5.93886675234615","0.5"
"PA132","2","10","13","5.09431868246691","0.5"
"PA132","2","17","13","5.40095383342054","0.5"
"PA132","2","30","13","6.13313655885883","0.5"
"PA132","3","10","13","4.28719012268458","0.5"
"PA132","3","17","13","4.45049010881818","0.5"
"PA132","3","30","13","4.88832131057837","0.5"
"PA132","1","10","14","4.8571797337055","0.5"
"PA132","1","17","14","5.07907863631999","0.5"
"PA132","1","30","14","5.51129451471208","0.5"
"PA132","2","10","14","6.74736601630812","0.5"
"PA132","2","17","14","6.82989320223587","0.5"
"PA132","2","30","14","7.00669977948912","0.5"
"PA132","3","10","14","7.61134972990443","0.5"
